##SEC_STUDENT_CAN_SEE
     a                |  bound_a        |  bound_a*       | PASS?
       00011000(u 24) |  00011000(u 24) |  00011000(u 24) | -
       01101111(u111) |  00111111(u 63) |  00111111(u 63) | -
       01000111(u 71) |  00111111(u 63) |  00111111(u 63) | -
       01011011(u 91) |  00111111(u 63) |  00111111(u 63) | -
       00110000(u 48) |  00110000(u 48) |  00110000(u 48) | -
       01001010(u 74) |  00111111(u 63) |  00111111(u 63) | -
       00111100(u 60) |  00111100(u 60) |  00111100(u 60) | -
       10000101(u133) |  00111111(u 63) |  00111111(u 63) | -
       11111101(u253) |  00111111(u 63) |  00111111(u 63) | -
       00011111(u 31) |  00011111(u 31) |  00011111(u 31) | -
       00000000(u  0) |  00000000(u  0) |  00000000(u  0) | -
       00000001(u  1) |  00000001(u  1) |  00000001(u  1) | -
       01111111(u127) |  00111111(u 63) |  00111111(u 63) | -
       10000000(u128) |  00111111(u 63) |  00111111(u 63) | -
       10000001(u129) |  00111111(u 63) |  00111111(u 63) | -
       10000010(u130) |  00111111(u 63) |  00111111(u 63) | -
       11111111(u255) |  00111111(u 63) |  00111111(u 63) | -
       11111010(u250) |  00111111(u 63) |  00111111(u 63) | -
       11110000(u240) |  00111111(u 63) |  00111111(u 63) | -
       11001000(u200) |  00111111(u 63) |  00111111(u 63) | -
##END_STUDENT_CAN_SEE
