##SEC_STUDENT_CAN_SEE
         a              b         op |       o       |      o*       | PASS?
    00001010( 10) 00000001(  1) 0(0) | 00001011( 11) | 00001011( 11) | -
    00000101(  5) 00000011(  3) 1(1) | 00000010(  2) | 00000010(  2) | -
    00001100( 12) 00000111(  7) 0(2) | 00000100(  4) | 00000100(  4) | -
    00001000(  8) 00000100(  4) 1(3) | 00001100( 12) | 00001100( 12) | -
    00000000(  0) 00000001(  1) 0(0) | 00000001(  1) | 00000001(  1) | -
    00011001( 25) 00001010( 10) 1(1) | 00000101(  5) | 00000101(  5) | -
    00101000( 40) 00001111( 15) 0(2) | 00001000(  8) | 00001000(  8) | -
    00010010( 18) 00000010(  2) 1(3) | 00010010( 18) | 00010010( 18) | -
    00000001(  1) 00000001(  1) 1(1) | 00000000(  0) | 00000000(  0) | -
    00010100( 20) 00000101(  5) 0(0) | 00011001( 25) | 00011001( 25) | -
    00100001( 33) 00001011( 11) 0(2) | 00000001(  1) | 00000001(  1) | -
    01001101( 77) 00110111( 55) 1(3) | 01111111(127) | 01111111(127) | -
    00001110( 14) 00000010(  2) 0(0) | 00010000( 16) | 00010000( 16) | -
    01100011( 99) 00000001(  1) 1(3) | 01100011( 99) | 01100011( 99) | -
    00110010( 50) 00000011(  3) 1(1) | 00000010(  2) | 00000010(  2) | -
    01000010( 66) 00010110( 22) 0(2) | 00000010(  2) | 00000010(  2) | -
    01010000( 80) 00010000( 16) 1(3) | 01010000( 80) | 01010000( 80) | -
    01011000( 88) 01100011( 99) 0(0) | 10111011(187) | 10111011(187) | -
    00101010( 42) 00000110(  6) 0(2) | 00000010(  2) | 00000010(  2) | -
    00001101( 13) 00000111(  7) 1(1) | 00000110(  6) | 00000110(  6) | -
##END_STUDENT_CAN_SEE
