##SEC_STUDENT_CAN_SEE
 a        | o         | o*       | PASS?
 00101101 | 00001101  | 00001101  | -
 00011011 | 00001011  | 00001011  | -
 00110010 | 00000010  | 00000010  | -
 10100010 | 00000010  | 00000010  | -
 00010010 | 00000010  | 00000010  | -
 01111111 | 00001111  | 00001111  | -
 00110011 | 00000011  | 00000011  | -
 11101001 | 00001001  | 00001001  | -
 01011101 | 00001101  | 00001101  | -
 10110011 | 00000011  | 00000011  | -
 00010011 | 00000011  | 00000011  | -
 01100011 | 00000011  | 00000011  | -
 00100000 | 00000000  | 00000000  | -
 10111111 | 00001111  | 00001111  | -
 01010001 | 00000001  | 00000001  | -
 00110101 | 00000101  | 00000101  | -
 10001001 | 00001001  | 00001001  | -
 10110000 | 00000000  | 00000000  | -
 10101011 | 00001011  | 00001011  | -
 10110001 | 00000001  | 00000001  | -
##END_STUDENT_CAN_SEE
