##SEC_STUDENT_CAN_SEE
          a        b       c      |     bgt   seq_bgt |  bgt*    seq_bgt* | PASS?
  0011(  3)  0010(  2)  0001(  1) |    1(1)      1(1) |   1(1)       1(1) | -
  0100(  4)  0100(  4)  0100(  4) |    0(0)      0(0) |   0(0)       0(0) | -
  0101(  5)  0011(  3)  0001(  1) |    1(1)      1(1) |   1(1)       1(1) | -
  0001(  1)  0101(  5)  0011(  3) |    0(0)      0(0) |   0(0)       0(0) | -
  1111( 15)  1110( 14)  1101( 13) |    1(1)      1(1) |   1(1)       1(1) | -
  1000(  8)  0111(  7)  0110(  6) |    1(1)      1(1) |   1(1)       1(1) | -
  0111(  7)  1000(  8)  0110(  6) |    0(0)      0(0) |   0(0)       0(0) | -
  0110(  6)  0110(  6)  0101(  5) |    0(0)      0(0) |   0(0)       0(0) | -
  0000(  0)  0000(  0)  0000(  0) |    0(0)      0(0) |   0(0)       0(0) | -
  0010(  2)  0010(  2)  0001(  1) |    0(0)      0(0) |   0(0)       0(0) | -
  0010(  2)  0001(  1)  0001(  1) |    1(1)      0(0) |   1(1)       0(0) | -
  1010( 10)  0101(  5)  0010(  2) |    1(1)      1(1) |   1(1)       1(1) | -
  1010( 10)  0101(  5)  0110(  6) |    1(1)      0(0) |   1(1)       0(0) | -
  1100( 12)  1101( 13)  1011( 11) |    0(0)      0(0) |   0(0)       0(0) | -
  1001(  9)  1000(  8)  1001(  9) |    1(1)      0(0) |   1(1)       0(0) | -
  0101(  5)  0101(  5)  0100(  4) |    0(0)      0(0) |   0(0)       0(0) | -
  0001(  1)  0010(  2)  0011(  3) |    0(0)      0(0) |   0(0)       0(0) | -
  1110( 14)  1101( 13)  1100( 12) |    1(1)      1(1) |   1(1)       1(1) | -
  0000(  0)  0001(  1)  0010(  2) |    0(0)      0(0) |   0(0)       0(0) | -
  0111(  7)  0110(  6)  0101(  5) |    1(1)      1(1) |   1(1)       1(1) | -
##END_STUDENT_CAN_SEE
